Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Junebug Holdings; LLC C&D Processing Facility,NYS Route 19,,Scio,NY,14895,Allegany,9,5855936177,Junebug Holdings LLC,,CDDHRF - storage only- concrete brick rock asphalt pavement - registration,[02CS0026],Yes,254490,4669761,,Asphalt Pavement;Concrete,02CS0026,05/21/2025,05/21/2030,
Berkshire TS,876 State Highway 29A (East Fulton Street Ext.),,Gloversville,NY,12078,Fulton,5,5187365501,Fulton County,County,Transfer facility - less than 50 tpd - registration,[18T10003],Yes,556209,4766542,,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);Electronics;Waste Oil (Other);Yard Trimmings;Single Stream,18T10003,07/02/2023,07/01/2028,"876 State Highway 29A (East Fulton Street Ext.)
Gloversville, NY 12078
(43.04877, -74.31066)"
Yonkers Transfer Station,735 Saw Mill River Road,,Yonkers,NY,10710,Westchester,3,9143776723,City of Yonkers,Municipal,Transfer facility - less than 50 tpd - registration,[60T10013],Yes,595038,4534970,,Yard Trimmings;MSW (Residential/Institutional & Commercial);Commingled Recyclables;Food Scraps,60T10013,09/06/2024,09/05/2028,"735 Saw Mill River Road
Yonkers, NY 10710
(40.96078, -73.87038)"
Menands Transfer Station,22 Simmons Lane,,Menands,NY,12204,Albany,4,5185172270,Casella Waste Management of N.Y.; Inc.,Private,Transfer facility - permit,[01TP2625],Yes,604155,4726220,1 - No accuracy stated,MSW (Residential/Institutional & Commercial),4-0126-00403/00001,02/28/2018,02/27/2028,"22 Simmons Lane
Menands, NY 12204
(42.68024, -73.72972)"
RJ Murray Enterprises Inc,131 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6315444400,Ryan Murray,Private,C&D processing - registration,[52W172R],Yes,645908,4525692,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Concrete;Rock;Soil (Clean),52W172R,01/23/2013,,"131 Old Northport Road
Kings Park, NY 11754
(40.86981, -73.26967)"
West Hook Sand & Gravel,25 West Hook Road,,Hopewell Junction,NY,12533,Dutchess,3,8458973316,West Hook Sand & Gravel; Inc.,Private,Composting - yard waste - permit,[14PP0002],Yes,595743,4597182,,Yard Trimmings,3-1330-00052/00008,02/01/2005,01/15/2015,"25 West Hook Road
Hopewell Junction, NY 12533
(41.52096, -73.84584)"
Power Recycling,4715 Route 30,,Amsterdam,NY,12010,Montgomery,4,5188433100,Power Pallet; Inc.,Private,RHRF - registration,[29R32001],Yes,566373,4759002,,Commingled Paper;Electronics;Plastic;Container Glass,29R32001,07/15/2024,07/14/2029,"4715 Route 30
Amsterdam, NY 12010
(42.98034, -74.18864)"
Kenneth P Edwards,1580 Fifth Ave.,,Bayshore,NY,11706,Suffolk,1,6316662578,Kenneth P. Edwards,Private,C&D processing - registration,[52W31R],Yes,646615,4513048,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Brick;Soil (Clean);Rock,52W31R,,,"1580 Fifth Ave.
Bayshore, NY 11706
(40.75484, -73.26316)"
Zuech's Environmental Services Inc.,8312 Rt. 98,,Franklinville,NY,14737,Cattaraugus,9,7166763388,Eric Zuech,,Storage - septage - registration,[05A50003],Yes,215973,4696611,1 - No accuracy stated,Septage,05A50003,08/29/2023,08/29/2028,"8312 Rt. 98
Franklinville, NY 14737
(42.36755, -78.45057)"
Burton's Junkyard/ Burton Truck & Auto Parts,645 County Route 35,,Fulton,NY,13069,Oswego,7,3154475634,Valentine Burton,Private,VDF - registration,[38V50003],Yes,396420,4807167,1 - No accuracy stated,End of Life Vehicles VDFs,38V50003,08/12/2025,08/11/2030,"645 County Route 35
Fulton, NY 13069
(43.40999, -76.27846)"
Gil Housel,120 Vine Lane,,Guilderland,NY,12303,Albany,4,5183567827,Gil Housel,Private,Landfill - land clearing debris,[01D01],Yes,586156,4732794,4.2 - Utilization of GIS and existing spatial data,,01D01,07/16/2010,,"120 Vine Lane
Guilderland, NY 12303
(42.74292, -73.94728)"
Honeywell/Camillus Bed #15 C&D,6051 Belle Isle Road,,Syracuse,NY,13209,Onondaga,7,3154884846,Honeywell International; Inc.,Private,Landfill - C&DD - permit,[34LC0029],Yes,398379,4768459,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,,,,"6051 Belle Isle Road
Syracuse, NY 13209
(43.06362, -76.24896)"
Mead Enterprises Inc,69 Button Road,,Waterford,NY,12188,Saratoga,5,5182352841,Ed Dalheim,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[46C90016],Yes,606111,4744261,,Asphalt,46C90016,04/07/2024,04/06/2029,"69 Button Road
Waterford, NY 12188
(42.84427, -73.70285)"
Hanna Paper Recycling Inc.,475 Ludwig Avenue,,Buffalo,NY,14227,Erie,9,7168919312,Tenere US Buyer; Inc.,Private,RHRF - registration,[15R30017],Yes,192542,4756475,,Plastic;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Commingled Paper,15R30017,03/07/2024,03/07/2029,"475 Ludwig Avenue
Buffalo, NY 14227
(42.89785, -78.76617)"
NYCDOS EAST 91ST ST. MTS,E 91ST STREET  (91ST ST. & EAST RIVER),,New York,NY,10128,New York,2,2128378030,,,Transfer station - permit,[31T02],Yes,589048,4514780,,,2-6204-00007/00013,11/06/2015,11/05/2025,"E 91ST STREET  (91ST ST. & EAST RIVER)
New York, NY 10128
(40.78347, -73.95512)"
Kinsella Quarry,8086 East Genesee Street,,Fayetteville,NY,13066,Onondaga,7,3156373390,T.H. Kinsella; Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[34C20034],Yes,421280,4765461,1 - No accuracy stated,Asphalt,34C20034,06/05/2023,06/04/2028,"8086 East Genesee Street
Fayetteville, NY 13066
(43.03891, -75.96688)"
Legend Advanced Septic,8080 Barnum Rd,,Cassadaga,NY,14718,Chautauqua,9,7165952526,Legend Advanced Septic,Private,Storage - septage - registration,[07A50016],Yes,140891,4692504,1 - No accuracy stated,Septage,07A50016,10/17/2023,10/17/2028,"8080 Barnum Rd
Cassadaga, NY 14718
(42.35375, -79.29331)"
Conewango Transfer Station,4640 Route 241,,Conewango,NY,14726,Cattaraugus,9,7163585300,Cattaraugus County DPW,County,Transfer facility - less than 50 tpd - registration,[05T10009],Yes,170225,4680044,,Commingled Plastics;Corrugated Cardboard;Electronics;Metals (Ferrous & Non-Ferrous);MSW (Residential/Institutional & Commercial);Waste Tires;Commingled Paper;Tin & Aluminum Containers;Container Glass,05T10009,02/26/2024,02/26/2029,"4640 Route 241
Conewango, NY 14726
(42.20694, -78.99789)"
Gooseneck Farms Sand and Gravel,8193 Putnam Rd,,Chautauqua,NY,14781,Chautauqua,9,7167203989,Gooseneck Farms Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[07C20062],Yes,121066,4683266,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings,07C20062,12/22/2021,12/22/2026,"8193 Putnam Rd
Chautauqua, NY 14781
(42.21044, -79.58972)"
Pittstown Transfer Station (T),2500 New York Roue 67,,Johnsonville,NY,12094,Rensselaer,4,5187534420,Town of Pittstown,Municipal,Transfer facility - less than 50 tpd - registration,[42T13601],Yes,622082,4752832,3 - Global Positioning System (GPS),Construction & Demolition Debris;Corrugated Cardboard;Tin & Aluminum Containers,42T13601,07/24/2024,07/23/2029,"2500 New York Roue 67
Johnsonville, NY 12094
(42.91916, -73.50457)"
Old Mud Creek Farm,67 Pine Wood Rd.,,Livingston,NY,12534,Columbia,4,4138541507,Old Mud Creek Farm; LLC,Private,Storage - septage - registration,[11A54610],Yes,600885,4667317,1 - No accuracy stated,Septage,11A44610,10/30/2020,10/30/2025,"67 Pine Wood Rd.
Livingston, NY 12534
(42.15035, -73.77884)"
Chemung Co. Materials Recycling Facility,1690 Lake Street,,Elmira,NY,14901,Chemung,8,8002273552,Chemung County,County,RHRF - registration,[08R30011],Yes,35049,4664678,4.1 - Address Matching,,08R30011,,,"1690 Lake Street
Elmira, NY 14901
(42.11991, -76.80895)"
ATLAS Roll-Off Corp,895 Essex Street,,Brooklyn,NY,11208,Kings,2,7183456451,John Polisnelli,Private,C&D processing - permit,[24W43],Yes,595022,4501865,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Metals (Non-Ferrous);Metals (Ferrous);Wood (Unadulterated),2-6105-00095/00004,03/18/2016,03/17/2021,"895 Essex Street
Brooklyn, NY 11208
(40.66209, -73.87605)"
Carbon Activated Corporation,3774 Hoover Road,,Blasdell,NY,14219,Erie,9,7168217830,Allen-Perera,Private,Combustion - alternative fuel storage - registration,[15B40002],Yes,184910,4743961,4.2 - Utilization of GIS and existing spatial data,Spent Activated Carbon,15B40002,11/19/2023,11/19/2028,"3774 Hoover Road
Blasdell, NY 14219
(42.78302, -78.85192)"
International Transportation & Equipment Exports; LTD,1A Bahama Street,,Lindenhurst,NY,11757,Suffolk,1,6318841999,Michael Bulzomi,Private,VDF - registration,[52V50317],Yes,639316,4506372,1 - No accuracy stated,End of Life Vehicles VDFs,52-0317,08/12/2020,08/11/2025,"1A Bahama Street
Lindenhurst, NY 11757
(40.6954, -73.35122)"
Biotreatment Facility,4635 River Road,,Tonawanda,NY,14150,Erie,9,7163625072,RB Newman LLC DBA Tonawanda Terminals Corp.,Private,Nonspecific facility - permit,[15XP0014],Yes,180030,4768150,4.2 - Utilization of GIS and existing spatial data,Petroleum Contaminated Soil,9-1464-00002/00005,10/02/2018,04/11/2025,"4635 River Road
Tonawanda, NY 14150
(43.00051, -78.92698)"
Almstead Nursery,905 NYS Rt. 66,,Claverack,NY,12534,Columbia,4,9145760193,Richard Almstead,Private,Composting - SSO - registration,[11P22801],Yes,605420,4680865,,Food Scraps,11P22801,06/01/2022,05/31/2027,"905 NYS Rt. 66
Claverack, NY 12534
(42.27486, -73.71925)"
A Wash Corp,429 Jericho Turnpike,,New Hyde Park,NY,11040,Nassau,1,5165891179,,,Nonspecific facility - permit,[30XP0146],Yes,0,0,,,1-2822-01884/00001,04/07/2023,04/06/2028,"429 Jericho Turnpike
New Hyde Park, NY 11040
(40.73173, -73.6894)"
Green Valley LCD Landfill,1341 State Route 3,,Saranac Lake,NY,12983,Essex,5,5188911940,Carolyn Trudeau,Private,Landfill - land clearing debris,[16D04],Yes,573041,4915059,,Land Clearing Debris,16D04,05/21/1997,,"1341 State Route 3
Saranac Lake, NY 12983
(44.38464, -74.08233)"
Wayland TS,2078 Dieter Road,,Wayland,NY,14572,Steuben,8,6076642460,Steuben County,County,Transfer facility - less than 50 tpd - registration,[51T10005],Yes,285068,4714524,,Commingled Paper & Containers;Waste Tires;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Newspaper;White Goods;Metals (Ferrous & Non-Ferrous),51T10005,07/27/2023,07/27/2028,"2078 Dieter Road
Wayland, NY 14572
(42.55351, -77.61843)"
West Kingston Recycling Corp,642 Abeel Street,,Kingston,NY,12401,Ulster,3,8453313312,Florencio Coraizaca,Private,Vehicle Dismantling Facility,[56J13],Yes,582536,4639960,,,,,,"642 Abeel Street
Kingston, NY 12401
(41.90638, -74.0055)"
Regal Recycling Co. Inc.,172-06 Douglas Avenue,,Jamaica,NY,11433,Queens,2,7185239330,Regal Recycling Company Inc,Private,CDDHRF - permit,[41CP0049],Yes,602416,4506677,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris,2-6307-00008/00007,06/03/2021,05/19/2025,"172-06 Douglas Avenue
Jamaica, NY 11433
(40.70489, -73.78571)"
Nannini & Callahan Processing Yard,370 Shore Road,,Cornwall,NY,12518,Orange,3,8455349674,Nannini & Callahan Excavating Inc.,Private,CDDHRF - concrete rock brick - registration,[36C10008],Yes,581590,4589621,,Concrete;Brick,36C10008,11/10/2022,11/30/2023,"370 Shore Road
Cornwall, NY 12518
(41.45279, -74.0214)"
Cicero Ready Mix Plant And Aggregate Storage Facility,770 Northern Boulevard,,Cicero,NY,13057,Onondaga,7,3154335115,Riccelli Northern LLC,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[34C60077],Yes,411719,4777347,1 - No accuracy stated,Soil (Clean);Gravel;Sand;Rock,34C60077,02/07/2020,02/06/2025,
Get Green Auto Parts; Inc.,133 Minnie Bennett Road,,Schuylerville,NY,12871,Saratoga,5,5189444009,Get Green Auto Parts; Inc.,Private,Scrap metal processor - registration,[46V30032],Yes,612454,4768228,,End of Life Vehicles VDFs,46V30032,08/15/2023,08/14/2028,"133 Minnie Bennett Road
Schuylerville, NY 12871
(43.05807, -73.61768)"
Finger Lakes Stone Co.; Inc- Finger Lakes Quarry,33 Quarry Road,,Dryden,NY,13053,Tompkins,7,6072774992,Finger Lakes Stone Co. Inc,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[55C90016],Yes,382671,469820,1 - No accuracy stated,Concrete;Rock;Brick;Asphalt Pavement;Asphalt Millings,55C90016,07/29/2025,07/28/2030,"33 Quarry Road
Dryden, NY 13053
(42.42777, -76.42789)"
TGS Organic Reclamation,5730 State Route 434,,Apalachin,NY,13732,Tioga,7,6077606545,Taylor Garbage Service; Inc.,Private,Composting - SSO - registration,[54P20012],Yes,403254,4659988,4.1 - Address Matching,Yard Trimmings;Food Scraps,544P20012,05/17/2023,05/16/2028,"5730 State Route 434
Apalachin, NY 13732
(42.08379, -76.16302)"
Truckin' Construction Corp.,450 Shore Road,,Glenwood Landing,NY,11547,Nassau,1,5166743943,David & JoAnn Johansen,Private,Mulch processing - registration,[30ME0138],Yes,613941,4521119,4.3 - Utilization of Digital Orthophoto Quads,Tree Debris;Wood (Chips),30C10138,02/23/2021,02/22/2026,"450 Shore Road
Glenwood Landing, NY 11547
(40.83368, -73.64887)"
Pinckney Transfer Station,587 County Route 194,,Copenhagen,NY,13626,Lewis,6,3156884277,Town of Pinckney,Municipal,Transfer facility - source separated recyclables - registration,[25T30005],Yes,434345,4852202,,Single Stream,25T30005,02/26/2024,02/07/2029,"587 County Route 194
Copenhagen, NY 13626
(43.81966, -75.8166)"
Trout Enterprises; Inc,2410 Edwards Rd,,Waterloo,NY,13165,Seneca,8,3157895742,Joshua Trout,Private,Scrap metal processor - registration,[50V30012],Yes,343408,4752401,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,50V30012,08/13/2020,08/13/2025,"2410 Edwards Rd
Waterloo, NY 13165
(42.90822, -76.91798)"
Niskayuna (T) Transfer Station & Recycling Facility,2555 River Road,,Niskayuna,NY,12309,Schenectady,4,5183864520,Town of Niskayuna,Municipal,Transfer facility - less than 50 tpd - registration,[47T12401],Yes,592796,4740744,,MSW (Residential/Institutional & Commercial);Single Stream;Commingled Paper;Corrugated Cardboard;Bulk Metal;Electronics,47T12401,04/01/2024,03/31/2029,"2555 River Road
Niskayuna, NY 12309
(42.81371, -73.8651)"
A&W Recycling Inc,521 Main St,,Chenango Bridge,NY,13745,Broome,7,6076483766,Dana Wells,Private,RHRF - registration,[04R20002],Yes,427343,4668978,,Commingled Containers;Commingled Paper;Paper / Cardboard;Metals (Ferrous);Metals (Non-Ferrous);Newspaper;PET;Electronics,04R20002,04/13/2023,05/04/2028,"521 Main St
Chenango Bridge, NY 13745
(42.16888, -75.87415)"
DeCostole Carting Inc,1481 Troy Avenue,,Brooklyn,NY,11203,Kings,2,7182416428,DeCostole Carting; Inc.,Private,C&D processing - permit,[24W41],Yes,590117,4498926,,Construction & Demolition Debris;Metals (Non-Ferrous);Concrete,,,,"1481 Troy Avenue
Brooklyn, NY 11203
(40.6362, -73.93454)"
Smithtown Highway Department (758 Smithtown By-pass),758 Smithtown Bypass,,Smithtown,NY,11787,Suffolk,1,6313607500,Town of Smithtown,Municipal,Transfer facility - less than 50 tpd - registration,[52T10276],Yes,654866,4523952,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Construction & Demolition Debris;Tree Debris,52T10276,05/07/2024,05/06/2029,"758 Smithtown Bypass
Smithtown, NY 11787
(40.85245, -73.16044)"
Pantomime Mixtures,3839 Ball Diamond Rd,,Hector,NY,14841,Schuyler,8,,Jesse Perlmutter,Private,Land application - UFPW - registration,[49A30014],Yes,347474,4708473,,Non-recognizable Food Processing Waste,49A30014,11/26/2019,11/26/2024,"3839 Ball Diamond Rd
Hector, NY 14841
(42.51313, -76.85662)"
Sodus (V) Composting,6792 Mud Lane,,Sodus,NY,14531,Wayne,8,3154836631,Village of Sodus,Municipal,Composting/other processing - biosolids/other,[59C01],Yes,332755,4790671,4.3 - Utilization of Digital Orthophoto Quads,Biosolids,8-5442-00149/00003,04/01/2018,03/31/2023,"6792 Mud Lane
Sodus, NY 14531
(43.25206, -77.06072)"
MEG Syracuse,532 State Fair Boulevard,,Syracuse,NY,13204,Onondaga,7,3154710305,Miller Environmental Group; Inc.,Private,Transfer station - permit,[34T75],Yes,403577,4768168,,Asbestos (Friable);Industrial;Sludge (Industrial);Construction & Demolition Debris;Oil/Gas Drilling Waste;Petroleum Contaminated Soil;Asbestos (Non-Friable);Metals (Ferrous & Non-Ferrous),7-3115-00193/00009,10/12/2017,10/11/2027,"532 State Fair Boulevard
Syracuse, NY 13204
(43.06079, -76.18428)"
Schroon Transfer Station,120 Alder Meadow Road,,Schroon,NY,12870,Essex,5,5185327737,Town of Schroon,County,Transfer facility - less than 50 tpd - registration,[16T10015],Yes,601031,4857023,4 - GIS Assisted,MSW (Residential/Institutional & Commercial),16T10015,07/29/2022,07/29/2027,"120 Alder Meadow Road
Schroon, NY 12870
(43.86189, -73.74374)"
20 Deep Winery LLC,187 Mendon Ionia Road,,Mendon,NY,14472,Monroe,8,5852047953,David Gascon,Private,Land application - UFPW - registration,[28A30009],Yes,296170,4762100,4.2 - Utilization of GIS and existing spatial data,Non-recognizable Food Processing Waste;Source Separated Organic Waste (SSOW),28A30009,02/25/2024,02/24/2029,"187 Mendon Ionia Road
Mendon, NY 14472
(42.985, -77.50318)"
Brisben Transfer Station,177 Coutermarsh Road,,Oxford,NY,13830,Chenango,7,6076567718,Chenango County,County,Transfer facility - less than 50 tpd - registration,[09T10008],Yes,442555,4689142,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Emergency Authorization Waste (Storm Debris),09T10008,02/21/2024,02/20/2029,
Winters Bros. Recycling of LI; Inc. - Kings Park Facility,499 Lawrence Rd.,,Kings Park,NY,11754,Suffolk,1,6313685533,Winters Bros. Recycling of LI; LLC,Private,CDDHRF - permit,[52CP0325],Yes,647682,4525571,,Construction & Demolition Debris;Commingled Paper,,,,"499 Lawrence Rd.
Kings Park, NY 11754
(40.86766, -73.24717)"
Gerster Trucking INC,12871 St Hwy 23,,Davenport,NY,13751,Delaware,4,6072785212,Philipp Gerster,Private,Land application - Third Party CAFO Applier - registration,[13A62602],Yes,511913,4701778,,Manure,13A62602,02/07/2025,02/06/2030,"12871 St Hwy 23
Davenport, NY 13751
(42.45291, -74.89572)"
Con-Strux Hamptons,1 High Street,,Speonk,NY,11972,Suffolk,1,6313255533,Con-Strux LLC,Private,Mulch processing - permit,[52MP0400],Yes,694104,4523908,4.3 - Utilization of Digital Orthophoto Quads,Tree Debris,1-4736-00747/00009,05/30/2023,05/29/2028,
Copart,4 West Ave,,Leroy,NY,14482,Genesee,8,5857688160,Copart Inc,Private,VDF - small - registration,[19V20013],Yes,255100,4763158,,,,,,"4 West Ave
Leroy, NY 14482
(42.98141, -78.00381)"
Wilmington Transfer Station,51 Evergreen Lane,,Wilmington,NY,12997,Essex,5,5183908580,Town of Wilmington,County,Transfer facility - less than 50 tpd - registration,[16T10017],Yes,596330,4921122,4 - GIS Assisted,MSW (Residential/Institutional & Commercial),16T10017,07/29/2022,07/29/2027,"51 Evergreen Lane
Wilmington, NY 12997
(44.43752, -73.78954)"
Alliance Auto Parts Inc 50-16 72nd Street,50-16 72nd Street,,Woodside,NY,11377,Queens,2,7186723800,Salvatore Ingardia,Private,VDF - registration,[41V50128],Yes,593514,4510146,4.2 - Utilization of GIS and existing spatial data,Engine Coolant/Antifreeze;End of Life Vehicles VDFs;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water,41V50128,02/04/2025,02/03/2030,"50-16 72nd Street
Woodside, NY 11377
(40.73672, -73.89229)"
G&G Tire Company Inc,20 Mckinley Ave,,Plattsburgh,NY,12901,Clinton,5,5185636430,Debbie Bruno,Private,WTHRF - retreader - registration,[10W30012],Yes,622781,4948833,4 - GIS Assisted,Tire,10W30012,07/25/2024,07/24/2029,"20 Mckinley Ave
Plattsburgh, NY 12901
(44.68248, -73.45087)"
Hornell TS,6360 East Avenue Extension,,Hornell,NY,14843,Steuben,8,6073247985,Steuben County,County,RHRF - 5 tpd or less - registration,[51R10002],Yes,281548,4687387,1 - No accuracy stated,Commingled Containers;Other Ferrous Scrap Metal;Electronics;Commingled Paper,51R10002,07/27/2023,07/28/2028,"6360 East Avenue Extension
Hornell, NY 14843
(42.3098, -77.65085)"
